SpatialJoin,10.0,3,3,608,250.987
MergeLast,10.0,3,3,705,362.520
SpatialJoin,10.0,3,4,489,247.679
MergeLast,10.0,3,4,657,261.969
SpatialJoin,10.0,3,5,388,254.109
MergeLast,10.0,3,5,637,376.903
SpatialJoin,10.0,4,3,104,242.131
MergeLast,10.0,4,3,104,218.962
SpatialJoin,10.0,4,4,82,241.014
MergeLast,10.0,4,4,82,231.443
SpatialJoin,10.0,4,5,62,243.964
MergeLast,10.0,4,5,62,232.900
SpatialJoin,20.0,3,3,2953,289.903
MergeLast,20.0,3,3,4676,408.113
SpatialJoin,20.0,3,4,2495,285.753
MergeLast,20.0,3,4,6515,346.311
SpatialJoin,20.0,3,5,2079,284.626
MergeLast,20.0,3,5,10284,352.140
SpatialJoin,20.0,4,3,643,266.895
MergeLast,20.0,4,3,1307,265.533
SpatialJoin,20.0,4,4,549,257.722
MergeLast,20.0,4,4,1873,290.368
SpatialJoin,20.0,4,5,459,260.747
MergeLast,20.0,4,5,2819,312.859
SpatialJoin,20.0,5,3,230,250.930
MergeLast,20.0,5,3,384,234.952
SpatialJoin,20.0,5,4,188,250.415
MergeLast,20.0,5,4,440,252.639
SpatialJoin,20.0,5,5,151,257.986
MergeLast,20.0,5,5,530,362.642
SpatialJoin,30.0,3,3,6549,371.795
MergeLast,30.0,3,3,12448,324.981
SpatialJoin,30.0,3,4,5632,399.525
MergeLast,30.0,3,4,29753,454.744
SpatialJoin,30.0,3,5,4768,405.695
MergeLast,30.0,3,5,84285,374.565
SpatialJoin,30.0,4,3,1868,272.269
MergeLast,30.0,4,3,4534,304.161
SpatialJoin,30.0,4,4,1595,286.386
MergeLast,30.0,4,4,10730,336.238
SpatialJoin,30.0,4,5,1329,293.832
MergeLast,30.0,4,5,25347,362.424
SpatialJoin,30.0,5,3,633,276.066
MergeLast,30.0,5,3,1787,285.033
SpatialJoin,30.0,5,4,519,268.381
MergeLast,30.0,5,4,3462,316.660
SpatialJoin,30.0,5,5,425,268.415
MergeLast,30.0,5,5,6077,356.137
