FE,5.0,7.26
FF,5.0,7.47
FE,10.0,8.81
FF,10.0,9.61
FE,15.0,10.06
FF,15.0,11.13
FE,20.0,12.21
FF,20.0,14.63
FE,25.0,17.16
FF,25.0,21.08
