POLYGON ((1965866.4064 537404.0871, 1965866.4064 538036.7828, 1966367.4913 538036.7828, 1966367.4913 537404.0871, 1965866.4064 537404.0871))	645	317034.22959802236	9	2.8388101850741423E-5	9	2.8388101850741423E-5
POLYGON ((1986911.9705 538669.4785, 1986911.9705 538985.8263, 1987162.513 538985.8263, 1987162.513 538669.4785, 1986911.9705 538669.4785))	892	79258.55739952017	50	6.308467077941378E-4	50	6.308467077941378E-4
POLYGON ((1972881.5945 565242.6974, 1972881.5945 566508.0888, 1973883.7642 566508.0888, 1973883.7642 565242.6974, 1972881.5945 565242.6974))	69	1268136.9183925006	92	7.254737139631567E-5	88	6.939313785734543E-5
POLYGON ((1994929.3283 536138.6957, 1994929.3283 537404.0871, 1995931.498 537404.0871, 1995931.498 536138.6957, 1994929.3283 536138.6957))	1036	1268136.9183925006	72	5.677620370146444E-5	74	5.8353320470949564E-5
POLYGON ((1993426.0737 549425.3052, 1993426.0737 550058.0009, 1993927.1586 550058.0009, 1993927.1586 549425.3052, 1993426.0737 549425.3052))	809	317034.22959802236	1	3.1542335389712695E-6	1	3.1542335389712695E-6
POLYGON ((1969875.0853 542465.6526, 1969875.0853 543098.3483, 1970376.1702 543098.3483, 1970376.1702 542465.6526, 1969875.0853 542465.6526))	629	317034.22959802236	47	1.4824897633164966E-4	46	1.4509474279267838E-4
POLYGON ((1991922.8191 536455.0436, 1991922.8191 536771.3914, 1992173.3616 536771.3914, 1992173.3616 536455.0436, 1991922.8191 536455.0436))	1024	79258.55739952017	60	7.570160493529654E-4	62	7.822499176647309E-4
POLYGON ((1981995.0753 561921.045, 1981995.0753 561960.5885, 1982026.3932 561960.5885, 1982026.3932 561921.045, 1981995.0753 561921.045))	365	1238.4149593688699	56	0.04521909201463388	57	0.04602657580060948
POLYGON ((1968872.9156 557650.3491, 1968872.9156 558915.7405, 1969875.0853 558915.7405, 1969875.0853 557650.3491, 1968872.9156 557650.3491))	138	1268136.9183925006	39	3.075377700495991E-5	38	2.9965218620217343E-5
POLYGON ((1984907.6311 551323.3923, 1984907.6311 552588.7836, 1985909.8008 552588.7836, 1985909.8008 551323.3923, 1984907.6311 551323.3923))	760	1268136.9183925006	19	1.4982609310108671E-5	18	1.419405092536611E-5
POLYGON ((1964864.2367 561446.5233, 1964864.2367 562711.9146, 1965866.4064 562711.9146, 1965866.4064 561446.5233, 1964864.2367 561446.5233))	101	1268136.9183925006	62	4.8890619854038826E-5	62	4.8890619854038826E-5
POLYGON ((1964363.1519 550690.6966, 1964363.1519 551323.3922, 1964864.2367 551323.3922, 1964864.2367 550690.6966, 1964363.1519 550690.6966))	479	317034.22959802236	5	1.5771167694856345E-5	5	1.5771167694856345E-5
POLYGON ((1981775.8507 561921.045, 1981775.8507 562079.2189, 1981901.1219 562079.2189, 1981901.1219 561921.045, 1981775.8507 561921.045))	347	19814.639349872752	5	2.52338683117748E-4	5	2.52338683117748E-4
POLYGON ((1994929.3283 547527.2181, 1994929.3283 548792.6095, 1995931.498 548792.6095, 1995931.498 547527.2181, 1994929.3283 547527.2181))	846	1268136.9183925006	63	4.967917823878138E-5	64	5.046773662352395E-5
POLYGON ((1981901.1219 534240.6087, 1981901.1219 534873.3044, 1982402.2068 534873.3044, 1982402.2068 534240.6087, 1981901.1219 534240.6087))	909	317034.22959802236	15	4.731350308456904E-5	14	4.415926954559777E-5
POLYGON ((1993927.1586 566508.0888, 1993927.1586 569038.8715, 1995931.498 569038.8715, 1995931.498 566508.0888, 1993927.1586 566508.0888))	333	5072547.673570002	105	2.0699657599492244E-5	106	2.0896797195677884E-5
