"MergeLast",28,30,4,4,678.11
"MergeLast",28,30,4,5,629.87
"MergeLast",28,30,5,4,653.94
"MergeLast",28,30,5,5,574.77
"MergeLast",28,35,4,4,725.15
"MergeLast",28,35,4,5,632.75
"MergeLast",28,35,5,4,661.73
"MergeLast",28,35,5,5,600.36
"MergeLast",28,40,4,4,778.48
"MergeLast",28,40,4,5,708.65
"MergeLast",28,40,5,4,717.66
"MergeLast",28,40,5,5,647.19
"MergeLast",28,45,4,4,984.88
"MergeLast",28,45,4,5,859.46
"MergeLast",28,45,5,4,731.71
"MergeLast",28,45,5,5,854.84
"MergeLast",28,50,4,4,1421.36
"MergeLast",28,50,4,5,1426.18
"MergeLast",28,50,5,4,1119.36
"MergeLast",28,50,5,5,802.44
"MergeLast",21,30,4,4,716.07
"MergeLast",21,30,4,5,622.58
"MergeLast",21,30,5,4,656.23
"MergeLast",21,30,5,5,606.58
"MergeLast",21,35,4,4,729.33
"MergeLast",21,35,4,5,665.01
"MergeLast",21,35,5,4,714.41
"MergeLast",21,35,5,5,631.46
"MergeLast",21,40,4,4,795.45
"MergeLast",21,40,4,5,713.01
"MergeLast",21,40,5,4,732.37
"MergeLast",21,40,5,5,669.43
"MergeLast",21,45,4,4,990.65
"MergeLast",21,45,4,5,918.24
"MergeLast",21,45,5,4,762.87
"MergeLast",21,45,5,5,683.5
"MergeLast",21,50,4,4,1516.56
"MergeLast",21,50,4,5,1279.45
"MergeLast",21,50,5,4,903.57
"MergeLast",21,50,5,5,840.39
