spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B3.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 3 --spatial CUSTOM --customymf 30 --customxmf 90 --customy 30 --customx 90 --fftimestamp 5
2019-05-17 08:11:22,671|FF|app-20190517080852-0279|3|4|  END|151.65|2.Join done                                       | 16.48|128740|1
2019-05-17 08:11:22,671|FF|app-20190517080852-0279|3|4|START|151.65|3.Flocks to report                                |  0.00|     0|1
2019-05-17 08:11:23,502|FF|app-20190517080852-0279|3|4|  END|152.48|3.Flocks to report                                |  0.83|     0|1
2019-05-17 08:11:23,502|FF|app-20190517080852-0279|3|4|START|152.48|4.Flocks prunned by expansion                     |  0.00|     0|1
2019-05-17 08:11:23,549|FF|app-20190517080852-0279|3|4|  END|152.53|4.Flocks prunned by expansion                     |  0.05|     0|1
2019-05-17 08:11:23,549|FF|app-20190517080852-0279|3|4|START|152.53|5.Flocks reported                                 |  0.00|     0|1
2019-05-17 08:11:23,557|FF|app-20190517080852-0279|3|4|  END|152.54|5.Flocks reported                                 |  0.01|     0|1
2019-05-17 08:11:23,557|FF|app-20190517080852-0279|3|4|START|152.54|6.Candidates indexed                              |  0.00|     0|1
2019-05-17 08:11:26,423|FF|app-20190517080852-0279|3|4|  END|155.40|6.Candidates indexed                              |  2.87|132352|1
2019-05-17 08:11:26,423|FF|app-20190517080852-0279|3|4|START|155.40|1.Maximal disks found                             |  0.00|     0|2
2019-05-17 08:11:26,423|MF|app-20190517080852-0279|3|4|START|155.40|A.Points indexed                                  |  0.00|     0|2
2019-05-17 08:11:26,593|MF|app-20190517080852-0279|3|4|  END|155.57|A.Points indexed                                  |  0.17|110376|2
2019-05-17 08:11:26,593|MF|app-20190517080852-0279|3|4|START|155.57|B.Pairs found                                     |  0.00|     0|2
2019-05-17 08:11:27,522|MF|app-20190517080852-0279|3|4|  END|156.50|B.Pairs found                                     |  0.93|243408|2
2019-05-17 08:11:27,522|MF|app-20190517080852-0279|3|4|START|156.50|C.Centers found                                   |  0.00|     0|2
2019-05-17 08:11:27,873|MF|app-20190517080852-0279|3|4|  END|156.85|C.Centers found                                   |  0.35|486816|2
