2019-07-11 19:27:02,588|MAXIMALS|app-20190711192646-0195|4|15|25.0|5|16|11.987
2019-07-11 19:27:31,735|MAXIMALS|app-20190711192709-0196|4|15|25.0|5|64|17.471
2019-07-11 19:28:09,302|MAXIMALS|app-20190711192739-0197|4|15|25.0|5|256|25.819
2019-07-11 19:28:34,988|MAXIMALS|app-20190711192816-0198|4|15|25.0|5|1024|13.906
2019-07-11 19:29:17,302|MAXIMALS|app-20190711192842-0199|4|15|25.0|5|4096|30.57
2019-07-11 19:30:15,855|MAXIMALS|app-20190711192924-0200|4|15|25.0|5|16|46.738
2019-07-11 19:31:13,730|MAXIMALS|app-20190711193023-0201|4|15|25.0|5|64|46.265
2019-07-11 19:32:24,468|MAXIMALS|app-20190711193121-0202|4|15|25.0|5|256|59.019
2019-07-11 19:33:12,359|MAXIMALS|app-20190711193232-0203|4|15|25.0|5|1024|35.687
2019-07-11 19:34:14,595|MAXIMALS|app-20190711193319-0204|4|15|25.0|5|4096|50.547
2019-07-11 19:40:38,349|MAXIMALS|app-20190711193421-0205|4|15|25.0|5|16|372.077
2019-07-11 19:46:07,725|MAXIMALS|app-20190711194045-0206|4|15|25.0|5|64|317.778
2019-07-11 19:52:06,116|MAXIMALS|app-20190711194615-0207|4|15|25.0|5|256|346.378
2019-07-11 19:56:54,665|MAXIMALS|app-20190711195213-0208|4|15|25.0|5|1024|276.705
2019-07-11 20:01:23,223|MAXIMALS|app-20190711195701-0209|4|15|25.0|5|4096|256.676
2019-07-11 20:01:47,781|MAXIMALS|app-20190711200130-0210|4|15|25.0|5|16|12.602
2019-07-11 20:02:17,981|MAXIMALS|app-20190711200155-0211|4|15|25.0|5|64|18.366
2019-07-11 20:02:55,508|MAXIMALS|app-20190711200225-0212|4|15|25.0|5|256|25.328
2019-07-11 20:03:21,738|MAXIMALS|app-20190711200303-0213|4|15|25.0|5|1024|14.091
2019-07-11 20:04:04,266|MAXIMALS|app-20190711200329-0214|4|15|25.0|5|4096|30.905
2019-07-11 20:05:04,892|MAXIMALS|app-20190711200411-0215|4|15|25.0|5|16|48.492
2019-07-11 20:06:08,512|MAXIMALS|app-20190711200512-0216|4|15|25.0|5|64|51.957
2019-07-11 20:07:24,386|MAXIMALS|app-20190711200615-0217|4|15|25.0|5|256|64.012
2019-07-11 20:08:09,602|MAXIMALS|app-20190711200731-0218|4|15|25.0|5|1024|33.268
2019-07-11 20:09:12,631|MAXIMALS|app-20190711200817-0219|4|15|25.0|5|4096|51.023
2019-07-11 20:16:14,169|MAXIMALS|app-20190711200920-0220|4|15|25.0|5|16|409.787
2019-07-11 20:21:34,497|MAXIMALS|app-20190711201621-0221|4|15|25.0|5|64|308.639
2019-07-11 20:27:24,719|MAXIMALS|app-20190711202142-0222|4|15|25.0|5|256|338.084
2019-07-11 20:32:05,635|MAXIMALS|app-20190711202732-0223|4|15|25.0|5|1024|268.65
2019-07-11 20:36:35,122|MAXIMALS|app-20190711203212-0224|4|15|25.0|5|4096|257.697
2019-07-11 20:36:58,677|MAXIMALS|app-20190711203642-0225|4|15|25.0|5|16|11.64
2019-07-11 20:37:27,117|MAXIMALS|app-20190711203705-0226|4|15|25.0|5|64|16.792
2019-07-11 20:38:05,244|MAXIMALS|app-20190711203734-0227|4|15|25.0|5|256|26.374
2019-07-11 20:38:31,214|MAXIMALS|app-20190711203812-0228|4|15|25.0|5|1024|13.992
2019-07-11 20:39:14,206|MAXIMALS|app-20190711203838-0229|4|15|25.0|5|4096|30.959
2019-07-11 20:40:13,386|MAXIMALS|app-20190711203921-0230|4|15|25.0|5|16|47.32
2019-07-11 20:41:12,787|MAXIMALS|app-20190711204020-0231|4|15|25.0|5|64|47.663
2019-07-11 20:42:22,995|MAXIMALS|app-20190711204120-0232|4|15|25.0|5|256|58.339
2019-07-11 20:43:07,359|MAXIMALS|app-20190711204230-0233|4|15|25.0|5|1024|32.353
2019-07-11 20:44:12,107|MAXIMALS|app-20190711204314-0234|4|15|25.0|5|4096|52.882
2019-07-11 20:51:17,644|MAXIMALS|app-20190711204419-0235|4|15|25.0|5|16|413.457
2019-07-11 20:56:28,477|MAXIMALS|app-20190711205124-0236|4|15|25.0|5|64|299.515
