0	4743482,5685626,6160853,6281391,7158179	1110100000001101	1100010101110001
0	3765340,4743482,6160853,6281391,7158179	1110100000000101	1101010100011001
0	3765340,4743482,5685626,6160853,6281391,7158179	1110100000001101	1101010101111001
0	4743482,5505541,5685626,6160853,6281391,7158179	1110100100001101	1100010101110001
0	3765340,4743482,5505541,5685626,6160853,6281391,7158179	1110100100001101	1101010101111001
0	3765340,4743482,5505541,6160853,6281391,7158179	1110100100000101	1101010100011001
0	3765340,5505541,6160853,6281391,7158179	0110100100000101	1101010000001001
0	4743482,5505541,6160853,6281391,7158179	1110100100000101	1100010100010001
0	15202,1524051,4743482,5685626,6281391	1101001001001101	1101010111110000
0	15202,1524051,4743482,5046703,5685626	1001001001001111	0101010111110001
0	15202,4743482,5685626,6160853,6281391	1111100001001101	1100010111110000
0	15202,1524051,4743482,5046703,5685626,6281391	1101001001001111	1101010111110001
0	15202,4743482,5505541,5685626,6160853,6281391	1111100101001101	1100010111110001
0	15202,5505541,5685626,6160853,6281391	0111100101001100	1100010011100001
0	15202,4743482,5505541,6160853,6281391	1111100101000101	1100010110010001
1	4743482,5685626,6160853,6281391,7158179	1110100000001101	1100010101110001
1	3765340,4743482,6160853,6281391,7158179	1110100000000101	1101010100011001
1	3765340,4743482,5685626,6160853,6281391,7158179	1110100000001101	1101010101111001
1	4743482,5505541,5685626,6160853,6281391,7158179	1110100100001101	1100010101110001
1	3765340,4743482,5505541,5685626,6160853,6281391,7158179	1110100100001101	1101010101111001
1	3765340,4743482,5505541,6160853,6281391,7158179	1110100100000101	1101010100011001
1	3765340,5505541,6160853,6281391,7158179	0110100100000101	1101010000001001
1	4743482,5505541,6160853,6281391,7158179	1110100100000101	1100010100010001
1	15202,1524051,4743482,5685626,6281391	1101001001001101	1101010111110000
1	15202,1524051,4743482,5046703,5685626	1001001001001111	0101010111110001
1	15202,4743482,5685626,6160853,6281391	1111100001001101	1100010111110000
1	15202,1524051,4743482,5046703,5685626,6281391	1101001001001111	1101010111110001
1	15202,4743482,5505541,5685626,6160853,6281391	1111100101001101	1100010111110001
1	15202,5505541,5685626,6160853,6281391	0111100101001100	1100010011100001
1	15202,4743482,5505541,6160853,6281391	1111100101000101	1100010110010001
2	4743482,5685626,6160853,6281391,7158179	1110100000001101	1100010101110001
2	3765340,4743482,6160853,6281391,7158179	1110100000000101	1101010100011001
2	3765340,4743482,5685626,6160853,6281391,7158179	1110100000001101	1101010101111001
2	4743482,5505541,5685626,6160853,6281391,7158179	1110100100001101	1100010101110001
2	3765340,4743482,5505541,5685626,6160853,6281391,7158179	1110100100001101	1101010101111001
2	3765340,4743482,5505541,6160853,6281391,7158179	1110100100000101	1101010100011001
2	3765340,5505541,6160853,6281391,7158179	0110100100000101	1101010000001001
2	4743482,5505541,6160853,6281391,7158179	1110100100000101	1100010100010001
2	15202,1524051,4743482,5685626,6281391	1101001001001101	1101010111110000
2	15202,1524051,4743482,5046703,5685626	1001001001001111	0101010111110001
2	15202,4743482,5685626,6160853,6281391	1111100001001101	1100010111110000
2	15202,1524051,4743482,5046703,5685626,6281391	1101001001001111	1101010111110001
2	15202,4743482,5505541,5685626,6160853,6281391	1111100101001101	1100010111110001
2	15202,5505541,5685626,6160853,6281391	0111100101001100	1100010011100001
2	15202,4743482,5505541,6160853,6281391	1111100101000101	1100010110010001
