2024-05-29 17:38:54,183|57027|mr-hn|TIME|0|application_1713583699042_1295|1|LA_50K|10.0|3|3|PSI|1000|616|5.0|1|Safe|7.955327931
2024-05-29 17:38:58,494|61338|mr-hn|TIME|0|application_1713583699042_1295|1|LA_50K|10.0|3|3|PSI|1000|616|5.0|1|Partial|4.300005337
2024-05-29 17:38:58,495|61339|mr-hn|TIME|0|application_1713583699042_1295|1|LA_50K|10.0|3|3|PSI|1000|616|5.0|1|Total|12.255333268000001
2024-05-29 17:40:45,806|101322|mr-hn|TIME|0|application_1713583699042_1296|1|LA_50K|15.0|3|3|PSI|1000|622|7.5|1|Safe|8.747328418
2024-05-29 17:41:13,029|128545|mr-hn|TIME|0|application_1713583699042_1296|1|LA_50K|15.0|3|3|PSI|1000|622|7.5|1|Partial|27.158614677
2024-05-29 17:41:13,030|128546|mr-hn|TIME|0|application_1713583699042_1296|1|LA_50K|15.0|3|3|PSI|1000|622|7.5|1|Total|35.905943095
2024-05-29 17:44:29,522|190534|mr-hn|TIME|0|application_1713583699042_1298|1|LA_50K|20.0|3|3|PSI|1000|619|10.0|1|Safe|19.160580506
2024-05-29 17:48:58,383|459395|mr-hn|TIME|0|application_1713583699042_1298|1|LA_50K|20.0|3|3|PSI|1000|619|10.0|1|Partial|268.835443061
2024-05-29 17:48:58,385|459397|mr-hn|TIME|0|application_1713583699042_1298|1|LA_50K|20.0|3|3|PSI|1000|619|10.0|1|Total|287.99602356699995
2024-05-29 17:55:05,525|360612|mr-hn|TIME|0|application_1713583699042_1300|1|LA_50K|10.0|3|3|PSI|1500|397|5.0|1|Safe|7.451027532
2024-05-29 17:55:09,118|364205|mr-hn|TIME|0|application_1713583699042_1300|1|LA_50K|10.0|3|3|PSI|1500|397|5.0|1|Partial|3.571808225
2024-05-29 17:55:09,119|364206|mr-hn|TIME|0|application_1713583699042_1300|1|LA_50K|10.0|3|3|PSI|1500|397|5.0|1|Total|11.022835757
