2023-11-02 14:50:29,514|194|mr-hn|TIME|0|35341827473012746|1|T320_cell10|14.0|3|5|PSI|Total     |0.04077096
2023-11-02 14:50:30,698|135|mr-hn|TIME|0|35341828703725555|1|T320_cell10|16.0|3|5|BFE|Total     |0.10505108400000002
2023-11-02 14:50:30,759|196|mr-hn|TIME|0|35341828703725555|1|T320_cell10|16.0|3|5|PSI|Total     |0.043923661
2023-11-02 14:50:32,025|151|mr-hn|TIME|0|35341830025863759|1|T320_cell10|18.0|3|5|BFE|Total     |0.116102517
2023-11-02 14:50:32,092|218|mr-hn|TIME|0|35341830025863759|1|T320_cell10|18.0|3|5|PSI|Total     |0.049913079
2023-11-02 14:50:33,231|147|mr-hn|TIME|0|35341831239986709|1|T320_cell10|20.0|3|5|BFE|Total     |0.11587297
2023-11-02 14:50:33,295|211|mr-hn|TIME|0|35341831239986709|1|T320_cell10|20.0|3|5|PSI|Total     |0.04887654799999999
2023-11-02 14:50:34,428|126|mr-hn|TIME|0|35341832449904477|1|T320_cell10|10.0|3|5|BFE|Total     |0.09403181699999999
2023-11-02 14:50:34,505|203|mr-hn|TIME|0|35341832449904477|1|T320_cell10|10.0|3|5|PSI|Total     |0.05250393600000001
2023-11-02 14:50:35,684|125|mr-hn|TIME|0|35341833716095146|1|T320_cell10|12.0|3|5|BFE|Total     |0.09190283399999999
2023-11-02 14:50:35,737|178|mr-hn|TIME|0|35341833716095146|1|T320_cell10|12.0|3|5|PSI|Total     |0.038036811
2023-11-02 14:50:36,838|126|mr-hn|TIME|0|35341834869030068|1|T320_cell10|14.0|3|5|BFE|Total     |0.09435365600000001
2023-11-02 14:50:36,896|184|mr-hn|TIME|0|35341834869030068|1|T320_cell10|14.0|3|5|PSI|Total     |0.042356665999999994
2023-11-02 14:50:38,132|153|mr-hn|TIME|0|35341836117221417|1|T320_cell10|16.0|3|5|BFE|Total     |0.115338587
2023-11-02 14:50:38,192|213|mr-hn|TIME|0|35341836117221417|1|T320_cell10|16.0|3|5|PSI|Total     |0.04543248899999999
2023-11-02 14:50:39,305|135|mr-hn|TIME|0|35341837326861641|1|T320_cell10|18.0|3|5|BFE|Total     |0.104647547
2023-11-02 14:50:39,366|196|mr-hn|TIME|0|35341837326861641|1|T320_cell10|18.0|3|5|PSI|Total     |0.046246446
2023-11-02 14:50:40,510|142|mr-hn|TIME|0|35341838524145154|1|T320_cell10|20.0|3|5|BFE|Total     |0.111117932
2023-11-02 14:50:40,574|206|mr-hn|TIME|0|35341838524145154|1|T320_cell10|20.0|3|5|PSI|Total     |0.048551733
2023-11-02 14:50:41,760|118|mr-hn|TIME|0|35341839798766499|1|T320_cell10|10.0|3|5|BFE|Total     |0.088146529
2023-11-02 14:50:41,810|168|mr-hn|TIME|0|35341839798766499|1|T320_cell10|10.0|3|5|PSI|Total     |0.035450396999999995
2023-11-02 14:50:42,945|119|mr-hn|TIME|0|35341840981943500|1|T320_cell10|12.0|3|5|BFE|Total     |0.088554966
2023-11-02 14:50:42,995|169|mr-hn|TIME|0|35341840981943500|1|T320_cell10|12.0|3|5|PSI|Total     |0.037175513
2023-11-02 14:50:44,093|120|mr-hn|TIME|0|35341842128938769|1|T320_cell10|14.0|3|5|BFE|Total     |0.089779362
2023-11-02 14:50:44,145|172|mr-hn|TIME|0|35341842128938769|1|T320_cell10|14.0|3|5|PSI|Total     |0.039107921999999996
2023-11-02 14:50:45,403|150|mr-hn|TIME|0|35341843407397564|1|T320_cell10|16.0|3|5|BFE|Total     |0.114934878
2023-11-02 14:50:45,464|211|mr-hn|TIME|0|35341843407397564|1|T320_cell10|16.0|3|5|PSI|Total     |0.044441473999999995
2023-11-02 14:50:46,565|134|mr-hn|TIME|0|35341844588530921|1|T320_cell10|18.0|3|5|BFE|Total     |0.104300481
2023-11-02 14:50:46,626|195|mr-hn|TIME|0|35341844588530921|1|T320_cell10|18.0|3|5|PSI|Total     |0.046116539
2023-11-02 14:50:47,820|204|mr-hn|TIME|0|35341845766503666|1|T320_cell10|20.0|3|5|BFE|Total     |0.163159379
2023-11-02 14:50:47,892|276|mr-hn|TIME|0|35341845766503666|1|T320_cell10|20.0|3|5|PSI|Total     |0.052204145
2023-11-02 14:50:48,961|73|mr-hn|TIME|0|35341847048771128|1|T320_cell11|10.0|3|5|BFE|Total     |0.046676463
2023-11-02 14:50:48,986|98|mr-hn|TIME|0|35341847048771128|1|T320_cell11|10.0|3|5|PSI|Total     |0.014927775
2023-11-02 14:50:50,034|77|mr-hn|TIME|0|35341848115290959|1|T320_cell11|12.0|3|5|BFE|Total     |0.048578837
2023-11-02 14:50:50,059|102|mr-hn|TIME|0|35341848115290959|1|T320_cell11|12.0|3|5|PSI|Total     |0.014024679000000002
2023-11-02 14:50:51,191|77|mr-hn|TIME|0|35341849245553983|1|T320_cell11|14.0|3|5|BFE|Total     |0.048286345999999994
2023-11-02 14:50:51,241|127|mr-hn|TIME|0|35341849245553983|1|T320_cell11|14.0|3|5|PSI|Total     |0.032587787
2023-11-02 14:50:52,304|76|mr-hn|TIME|0|35341850387955320|1|T320_cell11|16.0|3|5|BFE|Total     |0.048180930999999996
2023-11-02 14:50:52,331|103|mr-hn|TIME|0|35341850387955320|1|T320_cell11|16.0|3|5|PSI|Total     |0.014509096
