Variant	epsilon	time
COLLECT	10	0.37730412259874807
EACH	10	0.39867256637168136
HASH_3	10	0.3779516511979279
HASH_4	10	0.3769803582991582
HASH_5	10	0.3788150226635009
HASH_6	10	0.3774120440319447
HASH_7	10	0.377627886898338
HASH_8	10	0.37913878696309083
COLLECT	12	0.668745952946255
EACH	12	0.7402978631556227
HASH_3	12	0.6693934815454349
HASH_4	12	0.6706885387437945
HASH_5	12	0.6726311245413339
HASH_6	12	0.6710123030433844
HASH_7	12	0.6692855601122383
HASH_8	12	0.6719835959421541
COLLECT	14	0.81255115
EACH	14	0.9206885387437945
HASH_3	14	0.81543494
HASH_4	14	0.818853874379452
HASH_5	14	0.8131124541333911
HASH_6	14	0.8230304338442
HASH_7	14	0.81011223827
HASH_8	14	0.8135959421541
COLLECT	16	1.29743146988992
EACH	16	1.3942369954672997
HASH_3	16	1.2584718325059356
HASH_4	16	1.261925318368228
HASH_5	16	1.273364990287071
HASH_6	16	1.2664580185624865
HASH_7	16	1.2637599827325707
HASH_8	16	1.2662421756960933
COLLECT	18	3.908899201
EACH	18	3.979973
HASH_3	18	3.84357
HASH_4	18	3.84357
HASH_5	18	3.8457
HASH_6	18	3.8359917
HASH_7	18	3.8559357
HASH_8	18	3.8659357
COLLECT	20	5.385387437945176
EACH	20	5.5269803582991575
HASH_3	20	5.266781782862076
HASH_4	20	5.2628966112669975
HASH_5	20	5.252859917979711
HASH_6	20	5.250053960716598
HASH_7	20	5.269156054392402
HASH_8	20	5.266565939995683
