Phase,Index,Time
A.Pairs and centers found,none,1.9729999999999999
A.Pairs and centers found,quadtree,1.87
A.Pairs and centers found,rtree,1.984
B.Disks found,none,4.04
B.Disks found,quadtree,3.502
B.Disks found,rtree,3.822
C.Disks cleaned,none,8.757
C.Disks cleaned,quadtree,7.425
C.Disks cleaned,rtree,7.821
