6;SpatialJoin;30;3;5;I.Indexing candidates...;5.655;1861;36.36
6;SpatialJoin;30;3;5;J.Getting expansions...;0.303;3020;36.36
6;SpatialJoin;30;3;5;K.Finding maximal disks...;0.167;782;36.36
6;SpatialJoin;30;3;5;L.Prunning duplicates and subsets...;1.831;776;36.36
7;SpatialJoin;30;3;5;B.Indexing points...;6.941;18546;38.49
7;SpatialJoin;30;3;5;C.Getting pairs...;12.15;5788;38.49
7;SpatialJoin;30;3;5;D.Computing centers...;1.584;11576;38.49
7;SpatialJoin;30;3;5;E.Indexing centers...;1.225;11576;38.49
7;SpatialJoin;30;3;5;F.Getting disks...;6.929;11576;38.49
7;SpatialJoin;30;3;5;G.Filtering less-than-mu disks...;0.215;3654;38.49
7;SpatialJoin;30;3;5;H.Prunning duplicate candidates...;6.563;1872;38.49
7;SpatialJoin;30;3;5;I.Indexing candidates...;6.966;1872;38.49
7;SpatialJoin;30;3;5;J.Getting expansions...;0.236;2960;38.49
7;SpatialJoin;30;3;5;K.Finding maximal disks...;0.226;786;38.49
7;SpatialJoin;30;3;5;L.Prunning duplicates and subsets...;2.02;782;38.49
8;SpatialJoin;30;3;5;B.Indexing points...;4.166;18546;27.52
8;SpatialJoin;30;3;5;C.Getting pairs...;7.661;5791;27.52
8;SpatialJoin;30;3;5;D.Computing centers...;1.506;11582;27.52
8;SpatialJoin;30;3;5;E.Indexing centers...;1.202;11582;27.52
8;SpatialJoin;30;3;5;F.Getting disks...;5.986;11582;27.52
8;SpatialJoin;30;3;5;G.Filtering less-than-mu disks...;0.333;3639;27.52
8;SpatialJoin;30;3;5;H.Prunning duplicate candidates...;4.095;1848;27.52
8;SpatialJoin;30;3;5;I.Indexing candidates...;4.516;1848;27.52
8;SpatialJoin;30;3;5;J.Getting expansions...;0.332;2887;27.52
8;SpatialJoin;30;3;5;K.Finding maximal disks...;0.251;790;27.52
8;SpatialJoin;30;3;5;L.Prunning duplicates and subsets...;1.57;785;27.52
9;SpatialJoin;30;3;5;B.Indexing points...;5.898;18546;36.12
9;SpatialJoin;30;3;5;C.Getting pairs...;11.23;5802;36.12
9;SpatialJoin;30;3;5;D.Computing centers...;1.413;11604;36.12
9;SpatialJoin;30;3;5;E.Indexing centers...;1.034;11604;36.12
9;SpatialJoin;30;3;5;F.Getting disks...;8.356;11604;36.12
9;SpatialJoin;30;3;5;G.Filtering less-than-mu disks...;0.268;3660;36.12
9;SpatialJoin;30;3;5;H.Prunning duplicate candidates...;4.952;1856;36.12
9;SpatialJoin;30;3;5;I.Indexing candidates...;5.442;1856;36.12
9;SpatialJoin;30;3;5;J.Getting expansions...;0.319;2942;36.12
9;SpatialJoin;30;3;5;K.Finding maximal disks...;0.201;796;36.12
9;SpatialJoin;30;3;5;L.Prunning duplicates and subsets...;1.958;789;36.12
10;SpatialJoin;30;3;5;B.Indexing points...;6.166;18546;36.76
10;SpatialJoin;30;3;5;C.Getting pairs...;11.75;5797;36.76
