Dataset=sample87 Epsilon=6 Mu=4
2023-02-16 16:29:25,963|669|EACH|6|4|1676593765962|1676593765963|1|TIME2|pairs
2023-02-16 16:29:25,963|669|EACH|6|4|1676593765192|1676593765963|771|INFO2|npairs=21
2023-02-16 16:29:25,964|670|EACH|6|4|1676593765963|1676593765963|0|TIME2|centers
2023-02-16 16:29:25,964|670|EACH|6|4|1676593765192|1676593765964|772|INFO2|ncenters=42
2023-02-16 16:29:25,965|671|EACH|6|4|1676593765963|1676593765965|2|TIME2|disks
2023-02-16 16:29:25,966|672|EACH|6|4|1676593765192|1676593765966|774|INFO2|ndisks=27
2023-02-16 16:29:25,984|690|EACH|6|4|1676593765965|1676593765984|19|TIME2|prune
2023-02-16 16:29:25,984|690|EACH|6|4|1676593765192|1676593765984|792|INFO2|nmaximals=4
2023-02-16 16:29:25,985|691|EACH|6|4|1676593765192|1676593765984|792|INFO2|n=4
2023-02-16 16:29:25,985|691|EACH|6|4|1676593765985|1676593765985|0|TIME2|pairs
2023-02-16 16:29:25,985|691|EACH|6|4|1676593765192|1676593765985|793|INFO2|npairs=6
2023-02-16 16:29:25,986|692|EACH|6|4|1676593765985|1676593765986|1|TIME2|centers
2023-02-16 16:29:25,986|692|EACH|6|4|1676593765192|1676593765986|794|INFO2|ncenters=12
2023-02-16 16:29:25,987|693|EACH|6|4|1676593765986|1676593765987|1|TIME2|disks
2023-02-16 16:29:25,987|693|EACH|6|4|1676593765192|1676593765987|795|INFO2|ndisks=0
2023-02-16 16:29:25,988|694|EACH|6|4|1676593765987|1676593765988|1|TIME2|prune
2023-02-16 16:29:25,988|694|EACH|6|4|1676593765192|1676593765988|796|INFO2|nmaximals=0
2023-02-16 16:29:25,989|695|EACH|6|4|1676593765192|1676593765988|796|INFO2|n=7
2023-02-16 16:29:25,989|695|EACH|6|4|1676593765989|1676593765989|0|TIME2|pairs
2023-02-16 16:29:25,989|695|EACH|6|4|1676593765192|1676593765989|797|INFO2|npairs=21
2023-02-16 16:29:25,990|696|EACH|6|4|1676593765989|1676593765990|1|TIME2|centers
2023-02-16 16:29:25,990|696|EACH|6|4|1676593765192|1676593765990|798|INFO2|ncenters=42
2023-02-16 16:29:25,991|697|EACH|6|4|1676593765990|1676593765991|1|TIME2|disks
2023-02-16 16:29:25,992|698|EACH|6|4|1676593765192|1676593765992|800|INFO2|ndisks=25
2023-02-16 16:29:26,020|726|EACH|6|4|1676593765991|1676593766020|29|TIME2|prune
2023-02-16 16:29:26,020|726|EACH|6|4|1676593765192|1676593766020|828|INFO2|nmaximals=3
2023-02-16 16:29:26,021|727|EACH|6|4|1676593765192|1676593766021|829|INFO2|n=6
2023-02-16 16:29:26,021|727|EACH|6|4|1676593766021|1676593766021|0|TIME2|pairs
2023-02-16 16:29:26,021|727|EACH|6|4|1676593765192|1676593766021|829|INFO2|npairs=15
2023-02-16 16:29:26,022|728|EACH|6|4|1676593766021|1676593766022|1|TIME2|centers
2023-02-16 16:29:26,022|728|EACH|6|4|1676593765192|1676593766022|830|INFO2|ncenters=30
2023-02-16 16:29:26,023|729|EACH|6|4|1676593766022|1676593766023|1|TIME2|disks
2023-02-16 16:29:26,023|729|EACH|6|4|1676593765192|1676593766023|831|INFO2|ndisks=16
2023-02-16 16:29:26,060|766|EACH|6|4|1676593766023|1676593766059|36|TIME2|prune
2023-02-16 16:29:26,060|766|EACH|6|4|1676593765192|1676593766060|868|INFO2|nmaximals=3
2023-02-16 16:29:26,061|767|EACH|6|4|1676593765192|1676593766060|868|INFO2|n=7
2023-02-16 16:29:26,061|767|EACH|6|4|1676593766061|1676593766061|0|TIME2|pairs
2023-02-16 16:29:26,061|767|EACH|6|4|1676593765192|1676593766061|869|INFO2|npairs=21
2023-02-16 16:29:26,062|768|EACH|6|4|1676593766061|1676593766062|1|TIME2|centers
2023-02-16 16:29:26,062|768|EACH|6|4|1676593765192|1676593766062|870|INFO2|ncenters=42
2023-02-16 16:29:26,063|769|EACH|6|4|1676593766062|1676593766063|1|TIME2|disks
2023-02-16 16:29:26,064|770|EACH|6|4|1676593765192|1676593766064|872|INFO2|ndisks=26
2023-02-16 16:29:26,152|858|EACH|6|4|1676593766063|1676593766152|89|TIME2|prune
2023-02-16 16:29:26,152|858|EACH|6|4|1676593765192|1676593766152|960|INFO2|nmaximals=3
2023-02-16 16:29:26,153|859|EACH|6|4|1676593765192|1676593766153|961|INFO2|n=7
2023-02-16 16:29:26,153|859|EACH|6|4|1676593766153|1676593766153|0|TIME2|pairs
2023-02-16 16:29:26,153|859|EACH|6|4|1676593765192|1676593766153|961|INFO2|npairs=21
2023-02-16 16:29:26,154|860|EACH|6|4|1676593766153|1676593766154|1|TIME2|centers
2023-02-16 16:29:26,154|860|EACH|6|4|1676593765192|1676593766154|962|INFO2|ncenters=42
2023-02-16 16:29:26,155|861|EACH|6|4|1676593766154|1676593766155|1|TIME2|disks
2023-02-16 16:29:26,156|862|EACH|6|4|1676593765192|1676593766156|964|INFO2|ndisks=28
2023-02-16 16:29:26,174|880|EACH|6|4|1676593766155|1676593766174|19|TIME2|prune
2023-02-16 16:29:26,175|881|EACH|6|4|1676593765192|1676593766175|983|INFO2|nmaximals=3
2023-02-16 16:29:26,175|881|EACH|6|4|1676593765192|1676593766175|983|INFO2|n=11
2023-02-16 16:29:26,182|888|EACH|6|4|1676593766175|1676593766182|7|TIME2|pairs
2023-02-16 16:29:26,182|888|EACH|6|4|1676593765192|1676593766182|990|INFO2|npairs=55
2023-02-16 16:29:26,183|889|EACH|6|4|1676593766182|1676593766183|1|TIME2|centers
2023-02-16 16:29:26,183|889|EACH|6|4|1676593765192|1676593766183|991|INFO2|ncenters=110
2023-02-16 16:29:26,186|892|EACH|6|4|1676593766183|1676593766186|3|TIME2|disks
