partitionId	taskId	grid_id	wkt	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
2109	25483	2109	POLYGON ((1967363.4875 547524.0955, 1967363.4875 548157.1038, 1967864.8562 548157.1038, 1967864.8562 547524.0955, 1967363.4875 547524.0955))	12		41	25483	1594744780107	1594744780196	89	8	11	mr-06	0	false	0	true	67	27	14	14	0	0	967	0	0	0	0	0	0	0	0	37	5240	58	2	56	0	0	0	0626	Disks phase
206	23580	206	POLYGON ((1967864.8562 565881.3361, 1967864.8562 566514.3444, 1968366.225 566514.3444, 1968366.225 565881.3361, 1967864.8562 565881.3361))	12		41	23580	1594744775847	1594744776067	220	9	5	mr-05	0	false	0	true	197	27	14	14	0	0	967	0	0	0	0	0	0	0	0	168	4144	46	4	42	0	0	0	0626	Disks phase
4132	27506	4132	POLYGON ((1992933.2953 537395.9628, 1992933.2953 538661.9794, 1993936.0329 538661.9794, 1993936.0329 537395.9628, 1992933.2953 537395.9628))	12		41	27506	1594744783382	1594744783429	47	4	2	mr-10	0	false	0	true	26	22	17	16	0	0	967	0	0	0	0	0	0	0	0	0	7390	82	6	76	0	0	0	0626	Disks phase
1620	24994	1620	POLYGON ((1982122.531 561845.9082, 1982122.531 561885.4713, 1982153.8665 561885.4713, 1982153.8665 561845.9082, 1982122.531 561845.9082))	12		41	24994	1594744777866	1594744779918	2052	4	4	mr-12	0	false	0	true	2034	1218	14	14	0	484	1010	0	0	0	0	0	0	0	0	318	24604	268	22	246	0	0	0	0626	Disks phase
1064	24438	1064	POLYGON ((1973881.2816 555120.1951, 1973881.2816 556386.2117, 1974884.0192 556386.2117, 1974884.0192 555120.1951, 1973881.2816 555120.1951))	12		41	24438	1594744776939	1594744777251	312	13	11	mr-06	0	false	0	true	285	36	14	14	0	0	967	0	0	0	0	0	0	0	0	244	12446	134	12	122	0	0	0	0626	Disks phase
827	24201	827	POLYGON ((1976889.4943 561608.5301, 1976889.4943 561766.7822, 1977014.8365 561766.7822, 1977014.8365 561608.5301, 1976889.4943 561608.5301))	12		41	24201	1594744776463	1594744776530	67	3	1	mr-03	0	false	0	true	47	44	17	14	0	0	967	0	0	0	0	0	0	0	0	0	7756	86	6	80	0	0	0	0626	Disks phase
2666	26040	2666	POLYGON ((1967112.8031 537554.2149, 1967112.8031 537593.7779, 1967144.1386 537593.7779, 1967144.1386 537554.2149, 1967112.8031 537554.2149))	12		41	26040	1594744781386	1594744781421	35	4	12	mr-09	0	false	0	true	17	14	14	14	0	0	967	0	0	0	0	0	0	0	0	0	2166	24	4	20	0	0	0	0626	Disks phase
2088	25462	2088	POLYGON ((1969870.3314 550056.1287, 1969870.3314 551322.1453, 1970873.0689 551322.1453, 1970873.0689 550056.1287, 1969870.3314 550056.1287))	12		41	25462	1594744780040	1594744780188	148	7	3	mr-01	0	false	0	true	126	21	15	14	0	0	967	0	0	0	0	0	0	0	0	102	5412	60	2	58	0	0	0	0626	Disks phase
788	24162	788	POLYGON ((1976388.1255 563349.303, 1976388.1255 563982.3113, 1976889.4943 563982.3113, 1976889.4943 563349.303, 1976388.1255 563349.303))	12		41	24162	1594744776445	1594744776487	42	4	1	mr-03	0	false	0	true	24	22	14	13	0	0	967	0	0	0	0	0	0	0	0	0	1622	18	6	12	0	0	0	0626	Disks phase
1393	24767	1393	POLYGON ((1994437.4017 569046.3776, 1994437.4017 569362.8818, 1994688.086 569362.8818, 1994688.086 569046.3776, 1994437.4017 569046.3776))	12		41	24767	1594744777464	1594744777602	138	91	9	mr-02	0	false	0	true	30	25	17	15	0	0	967	0	0	0	0	0	0	0	0	0	5298	58	8	50	0	0	0	0626	Disks phase
887	24261	887	POLYGON ((1976638.8099 561292.026, 1976638.8099 561450.2781, 1976764.1521 561450.2781, 1976764.1521 561292.026, 1976638.8099 561292.026))	12		41	24261	1594744776501	1594744776565	64	6	4	mr-12	0	false	0	true	42	23	16	14	0	15	1010	0	0	0	0	0	0	0	0	0	1982	22	4	18	0	0	0	0626	Disks phase
4019	27393	4019	POLYGON ((1994938.7704 539927.996, 1994938.7704 541194.0126, 1995941.508 541194.0126, 1995941.508 539927.996, 1994938.7704 539927.996))	12		41	27393	1594744783149	1594744783380	231	14	11	mr-06	0	false	0	true	202	22	15	14	0	0	967	0	0	0	0	0	0	0	0	176	5958	66	8	58	0	0	0	0626	Disks phase
2872	26246	2872	POLYGON ((1969870.3314 534863.9296, 1969870.3314 536129.9462, 1970873.0689 536129.9462, 1970873.0689 534863.9296, 1969870.3314 534863.9296))	12		41	26246	1594744781689	1594744781945	256	7	11	mr-06	0	false	0	true	233	27	16	15	0	0	967	0	0	0	0	0	0	0	0	204	7822	86	8	78	0	0	0	0626	Disks phase
607	23981	607	POLYGON ((1965859.3811 557652.2283, 1965859.3811 558285.2366, 1966360.7499 558285.2366, 1966360.7499 557652.2283, 1965859.3811 557652.2283))	12		41	23981	1594744776365	1594744776405	40	7	7	mr-08	0	false	0	true	16	13	17	15	0	0	967	0	0	0	0	0	0	0	0	0	3608	40	2	38	0	0	0	0626	Disks phase
2090	25464	2090	POLYGON ((1969870.3314 548790.1121, 1969870.3314 550056.1287, 1970873.0689 550056.1287, 1970873.0689 548790.1121, 1969870.3314 548790.1121))	12		41	25464	1594744780042	1594744780180	138	4	8	mr-04	0	false	0	true	119	15	15	14	0	0	967	0	0	0	0	0	0	0	0	102	5132	56	2	54	0	0	0	0626	Disks phase
3342	26716	3342	POLYGON ((1995690.8236 548790.1121, 1995690.8236 548869.2382, 1995753.4947 548869.2382, 1995753.4947 548790.1121, 1995690.8236 548790.1121))	12		41	26716	1594744782408	1594744782468	60	5	5	mr-05	0	false	0	true	38	31	17	16	0	0	967	0	0	0	0	0	0	0	0	0	2882	32	4	28	0	0	0	0626	Disks phase
1330	24704	1330	POLYGON ((1988922.3451 570945.4025, 1988922.3451 571261.9067, 1989173.0295 571261.9067, 1989173.0295 570945.4025, 1988922.3451 570945.4025))	12		41	24704	1594744777438	1594744777484	46	5	9	mr-02	0	false	0	true	22	19	19	18	0	0	967	0	0	0	0	0	0	0	0	0	728	8	0	8	0	0	0	0626	Disks phase
3213	26587	3213	POLYGON ((1986415.5012 546258.0789, 1986415.5012 546891.0872, 1986916.8699 546891.0872, 1986916.8699 546258.0789, 1986415.5012 546258.0789))	12		41	26587	1594744782220	1594744782409	189	13	2	mr-10	0	false	0	true	161	12	15	15	0	0	967	0	0	0	0	0	0	0	0	145	2348	26	2	24	0	0	0	0626	Disks phase
