partitionId	taskId	grid_id	wkt	area	perimeter	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName	epsilon
3068	23850	3068	POLYGON ((1983908.6572 539927.996, 1983908.6572 541194.0126, 1984911.3948 541194.0126, 1984911.3948 539927.996, 1983908.6572 539927.996))	1269482.3933013363	4537.508312499849	12		41	23850	1594773031787	1594773031826	39	17	2	mr-12	0	false	0	true	10	9	12	11	0	0	967	0	0	0	0	0	0	0	0	0	4770	52	10	42	0	0	0	0627	Disks phase	10.0
613	21395	613	POLYGON ((1973379.9128 562083.2864, 1973379.9128 562716.2947, 1973881.2816 562716.2947, 1973881.2816 562083.2864, 1973379.9128 562083.2864))	317370.5983253633	2268.754156250041	12		41	21395	1594773025521	1594773025723	202	12	10	mr-09	0	false	0	true	177	31	13	12	0	0	967	0	0	0	0	0	0	0	0	144	9978	110	8	102	0	0	0	0627	Disks phase	10.0
846	21628	846	POLYGON ((1973442.5839 556742.2789, 1973442.5839 556762.0604, 1973458.2517 556762.0604, 1973458.2517 556742.2789, 1973442.5839 556742.2789))	309.9322249286175	70.89856738294475	12		41	21628	1594773025976	1594773026246	270	4	8	mr-11	0	false	0	true	252	31	14	13	0	0	967	0	0	0	0	0	0	0	0	219	2526	28	2	26	0	0	0	0627	Disks phase	10.0
803	21585	803	POLYGON ((1978894.9694 560817.2698, 1978894.9694 561450.2781, 1979396.3382 561450.2781, 1979396.3382 560817.2698, 1978894.9694 560817.2698))	317370.5983253633	2268.754156250041	12		41	21585	1594773025787	1594773025983	196	11	2	mr-12	0	false	0	true	173	26	12	11	0	0	967	0	0	0	0	0	0	0	0	146	8732	96	12	84	0	0	0	0627	Disks phase	10.0
1549	22331	1549	POLYGON ((1986916.8699 555120.1951, 1986916.8699 556386.2117, 1987919.6075 556386.2117, 1987919.6075 555120.1951, 1986916.8699 555120.1951))	1269482.3933013363	4537.508312499849	12		41	22331	1594773028602	1594773029026	424	8	10	mr-09	0	false	0	true	400	22	16	13	0	0	967	0	0	0	0	0	0	0	0	367	5298	58	2	56	0	0	0	0627	Disks phase	10.0
857	21639	857	POLYGON ((1973630.5972 556386.2117, 1973630.5972 556702.7158, 1973881.2816 556702.7158, 1973881.2816 556386.2117, 1973630.5972 556386.2117))	79342.64958134083	1134.3770781250205	12		41	21639	1594773025983	1594773026255	272	4	11	mr-03	0	false	0	true	250	36	18	14	0	0	967	0	0	0	0	0	0	0	0	211	5560	60	8	52	0	0	0	0627	Disks phase	10.0
1331	22113	1331	POLYGON ((1981965.8532 561885.4713, 1981965.8532 561925.0343, 1981997.1888 561925.0343, 1981997.1888 561885.4713, 1981965.8532 561885.4713))	1239.7288997089063	141.79713476565666	12		41	22113	1594773026791	1594773029079	2288	4	10	mr-09	0	false	0	true	2270	1534	14	13	0	703	1010	0	0	0	0	0	0	0	0	0	31860	348	34	314	0	0	0	0627	Disks phase	10.0
707	21489	707	POLYGON ((1976952.1654 561529.4041, 1976952.1654 561608.5301, 1977014.8365 561608.5301, 1977014.8365 561529.4041, 1976952.1654 561529.4041))	4958.915598835625	283.59426953131333	12		41	21489	1594773025704	1594773025745	41	3	8	mr-11	0	false	0	true	26	23	12	12	0	0	967	0	0	0	0	0	0	0	0	0	3790	42	8	34	0	0	0	0627	Disks phase	10.0
2302	23084	2302	POLYGON ((1971123.7533 539294.9877, 1971123.7533 539453.2397, 1971249.0955 539453.2397, 1971249.0955 539294.9877, 1971123.7533 539294.9877))	19835.66239532791	567.1885390623938	12		41	23084	1594773030120	1594773030782	662	3	4	mr-07	0	false	0	true	646	50	13	11	0	195	1010	0	0	0	0	0	0	0	0	363	1084	12	0	12	0	0	0	0627	Disks phase	10.0
1156	21938	1156	POLYGON ((1991930.5577 571578.4108, 1991930.5577 572211.4191, 1992431.9265 572211.4191, 1992431.9265 571578.4108, 1991930.5577 571578.4108))	317370.5983253633	2268.754156250041	12		41	21938	1594773026565	1594773026779	214	4	2	mr-12	0	false	0	true	196	17	14	13	0	0	967	0	0	0	0	0	0	0	0	176	4676	52	4	48	0	0	0	0627	Disks phase	10.0
