0,0 1399 5910 6773 11059
0,2085 4770 6002 8243 13165
0,638 2034 3809 6358 6773 11059 12220 18531 18553
1,0 1399 3809 6773 11059
1,1435 5338 6002 11525 13165
1,6358 12220 17240 18531 18553
2,0 3809 6358 6773 11059 12220 18531 18553
2,0 638 1399 3809 5447 11525 13165
2,638 5447 6002 8243 11525 13165
3,0 638 1399 2034 3809 5447 12220
3,6358 15785 16587 17240 18531 18553
3,6358 6773 11059 12220 18531 18553
4,0 638 1399 2034 3809 5447 11525
4,1399 3809 5338 5447 11525 13165
4,638 1399 3809 5338 5447 5910 11525 13165
5,0 638 1399 3809 5338 5447 5910 11525
5,0 638 1399 3809 5338 5910 11525
5,2085 4770 6002 11137 13165
6,0 638 3809 6773 11059 12220 18531
6,2034 4668 5447 8243 12220
6,2085 6002 8243 11525 13165
7,0 638 2034 3809 5447 6358 6773 11059 12220
7,1399 3809 5338 5910 11525 13165
7,638 2034 3809 5447 6358 12220
8,0 1399 3809 5910 11059
8,1435 8560 11261 17174 18785
8,3809 6773 11059 12220 18531
9,0 638 1399 2034 3809 5447 6773 11059
9,1435 5338 11525 13165 17174
9,6358 6773 11059 12220 18531
10,1435 8560 11261 15149 17174 18785
10,2034 4668 6358 12220 18553
10,558 9106 14181 14911 16064
11,0 638 1399 3809 5338 5447 5910 11525 13165
11,6358 15785 16587 17240 18553
11,638 2034 5447 6358 8243 12220 18553
12,0 638 2034 3809 5447 6358 12220 18553
12,0 638 2034 3809 5447 6358 6773 12220 18531 18553
12,6713 8311 13229 13399 13920
13,1435 11261 15149 17174 18785
13,5447 6002 8243 11525 13165
13,638 2034 5447 6358 12220
14,0 1399 3809 5338 5910 11525
14,1435 5338 8560 11525 13165
14,638 2034 3809 5447 8243 12220
15,0 1399 5338 5910 16046
15,2034 4668 5447 6358 12220
16,0 638 2034 3809 5447 6358 6773 11059 12220 18531 18553
16,558 7205 9106 14911 16064
17,1435 8560 11261 15149 17174
17,638 2034 6358 6773 12220 18531 18553
18,0 638 2034 3809 5447 11525 13165
18,2085 4770 6002 8243 11137
19,0 638 1399 3809 5447 5910 11525 13165
19,0 638 2034 3809 6358 6773 11059 12220 18531
20,5481 10336 10749 12802 13076
20,6713 8498 13229 13399 13920
21,1399 5338 5447 11525 13165
21,558 9449 14181 14911 16064
22,0 638 1399 3809 5338 5910 11525 13165
22,0 638 2034 3809 6773 11059 18531
23,0 1399 3809 5910 16046
23,1222 6995 8377 12007 12473
24,0 638 2034 3809 5447 6358 12220 18531 18553
24,638 5447 8243 11525 13165
25,0 3809 6773 11059 12220 18531
25,2034 5447 6358 12220 18531 18553
26,1435 5338 8560 11525 15149
26,6358 6773 11059 18531 18553
27,0 2034 3809 6358 6773 11059 12220 18531 18553
27,0 3809 6773 11059 18531
28,0 1399 3809 5338 5447 5910 11525 13165
28,558 9106 9449 14181 14911 16064
29,0 638 1399 3809 5910 6773
29,6358 6773 12220 18531 18553
30,0 1399 3809 5910 6773 11059
30,0 638 2034 3809 5447 6358 6773 12220 18553
31,2034 6358 12220 17240 18531 18553
31,6713 8311 8498 13229 13399 13920
32,0 638 2034 3809 5447 6358 12220
32,638 5338 5447 11525 13165
33,6358 12220 15785 17240 18531 18553
33,638 2034 5447 8243 12220
34,0 638 1399 2034 3809 6773 11059
34,1399 3809 5338 5447 5910 11525 13165
