method	stage	epsilon	time
BFE	Candidates	3.0	0.0033888758
BFE	Candidates	4.0	0.0222083054
BFE	Candidates	5.0	0.013599662799999999
BFE	Centers	3.0	0.044314867400000006
BFE	Centers	4.0	0.0685060278
BFE	Centers	5.0	0.05235393199999999
BFE	Cliques	3.0	0.0
BFE	Cliques	4.0	0.0
BFE	Cliques	5.0	0.0
BFE	Grid	3.0	0.017214944599999997
BFE	Grid	4.0	0.017989424999999996
BFE	Grid	5.0	0.0425347608
BFE	Maximals	3.0	0.17972634540000004
BFE	Maximals	4.0	0.18176347220000008
BFE	Maximals	5.0	0.23817141999999994
BFE	Pairs	3.0	0.0239850458
BFE	Pairs	4.0	0.027060012400000007
BFE	Pairs	5.0	0.0257140272
BFE	Read	3.0	0.017133059200000002
BFE	Read	4.0	0.010691817999999999
BFE	Read	5.0	0.009198934600000002
BFE	Total	3.0	0.2857631382
BFE	Total	4.0	0.3282190608000001
BFE	Total	5.0	0.3815727373999999
BFE_LCM	Candidates	3.0	0.0
BFE_LCM	Candidates	4.0	0.0
BFE_LCM	Candidates	5.0	0.0
BFE_LCM	Centers	3.0	0.019854439600000003
BFE_LCM	Centers	4.0	0.024376266400000002
BFE_LCM	Centers	5.0	0.028088240599999998
BFE_LCM	Cliques	3.0	0.0
BFE_LCM	Cliques	4.0	0.0
BFE_LCM	Cliques	5.0	0.0
BFE_LCM	Grid	3.0	0.002984929
BFE_LCM	Grid	4.0	0.0022828094
BFE_LCM	Grid	5.0	0.002923359
BFE_LCM	Maximals	3.0	0.258933668
BFE_LCM	Maximals	4.0	0.358461052
BFE_LCM	Maximals	5.0	0.4595793798000001
BFE_LCM	Pairs	3.0	0.0090746348
BFE_LCM	Pairs	4.0	0.0096868732
BFE_LCM	Pairs	5.0	0.010197187800000002
BFE_LCM	Read	3.0	0.006070899800000003
BFE_LCM	Read	4.0	0.006334587
BFE_LCM	Read	5.0	0.005989372200000001
BFE_LCM	Total	3.0	0.2969185712
BFE_LCM	Total	4.0	0.40114158799999994
BFE_LCM	Total	5.0	0.5067775394
