2019-07-29 18:00:15,134|TRAJS|0|50000
2019-07-29 18:00:21,356|TRAJS|1|470
2019-07-29 18:00:24,624|TRAJS|2|649
2019-07-29 18:00:27,674|TRAJS|3|436
2019-07-29 18:00:30,664|TRAJS|4|735
2019-07-29 18:00:33,481|TRAJS|5|666
2019-07-29 18:00:36,227|TRAJS|6|364
2019-07-29 18:00:38,921|TRAJS|7|413
2019-07-29 18:00:41,443|TRAJS|8|658
2019-07-29 18:00:44,049|TRAJS|9|563
2019-07-29 18:00:46,572|TRAJS|10|369
2019-07-29 18:00:49,077|TRAJS|11|369
2019-07-29 18:00:51,566|TRAJS|12|376
2019-07-29 18:00:54,083|TRAJS|13|369
2019-07-29 18:00:56,602|TRAJS|14|349
2019-07-29 18:00:59,111|TRAJS|15|362
2019-07-29 18:01:01,590|TRAJS|16|381
2019-07-29 18:01:04,079|TRAJS|17|406
2019-07-29 18:01:06,484|TRAJS|18|373
2019-07-29 18:01:08,883|TRAJS|19|376
2019-07-29 18:01:11,213|TRAJS|20|430
2019-07-29 18:01:13,676|TRAJS|21|363
2019-07-29 18:01:16,051|TRAJS|22|414
2019-07-29 18:01:18,515|TRAJS|23|398
2019-07-29 18:01:21,009|TRAJS|24|435
2019-07-29 18:01:23,410|TRAJS|25|390
2019-07-29 18:01:25,814|TRAJS|26|440
2019-07-29 18:01:28,177|TRAJS|27|437
2019-07-29 18:01:30,494|TRAJS|28|461
2019-07-29 18:01:32,973|TRAJS|29|430
2019-07-29 18:01:35,336|TRAJS|30|456
2019-07-29 18:01:37,770|TRAJS|31|426
2019-07-29 18:01:40,020|TRAJS|32|482
2019-07-29 18:01:42,421|TRAJS|33|477
2019-07-29 18:01:44,898|TRAJS|34|480
2019-07-29 18:01:47,273|TRAJS|35|463
2019-07-29 18:01:49,550|TRAJS|36|466
2019-07-29 18:01:51,863|TRAJS|37|475
2019-07-29 18:01:54,289|TRAJS|38|479
2019-07-29 18:01:56,568|TRAJS|39|447
2019-07-29 18:01:58,924|TRAJS|40|442
2019-07-29 18:02:01,349|TRAJS|41|469
2019-07-29 18:02:03,717|TRAJS|42|488
2019-07-29 18:02:06,160|TRAJS|43|480
2019-07-29 18:02:08,541|TRAJS|44|480
2019-07-29 18:02:11,112|TRAJS|45|443
2019-07-29 18:02:13,553|TRAJS|46|471
2019-07-29 18:02:15,823|TRAJS|47|466
2019-07-29 18:02:18,196|TRAJS|48|463
2019-07-29 18:02:20,540|TRAJS|49|497
2019-07-29 18:02:22,730|TRAJS|50|512
2019-07-29 18:02:24,962|TRAJS|51|514
2019-07-29 18:02:27,287|TRAJS|52|482
2019-07-29 18:02:29,680|TRAJS|53|482
2019-07-29 18:02:31,960|TRAJS|54|502
2019-07-29 18:02:34,265|TRAJS|55|527
2019-07-29 18:02:36,693|TRAJS|56|517
2019-07-29 18:02:38,976|TRAJS|57|503
2019-07-29 18:02:41,352|TRAJS|58|542
2019-07-29 18:02:43,648|TRAJS|59|552
2019-07-29 18:02:45,966|TRAJS|60|533
2019-07-29 18:02:48,190|TRAJS|61|510
2019-07-29 18:02:50,531|TRAJS|62|522
2019-07-29 18:02:52,893|TRAJS|63|546
2019-07-29 18:02:55,210|TRAJS|64|571
2019-07-29 18:02:57,596|TRAJS|65|537
2019-07-29 18:02:59,899|TRAJS|66|568
2019-07-29 18:03:02,267|TRAJS|67|599
2019-07-29 18:03:04,767|TRAJS|68|557
2019-07-29 18:03:07,486|TRAJS|69|561
2019-07-29 18:03:09,993|TRAJS|70|533
2019-07-29 18:03:12,339|TRAJS|71|605
2019-07-29 18:03:14,720|TRAJS|72|554
2019-07-29 18:03:17,075|TRAJS|73|579
2019-07-29 18:03:19,410|TRAJS|74|563
2019-07-29 18:03:21,680|TRAJS|75|548
2019-07-29 18:03:23,933|TRAJS|76|536
2019-07-29 18:03:26,311|TRAJS|77|562
2019-07-29 18:03:28,618|TRAJS|78|608
2019-07-29 18:03:30,934|TRAJS|79|518
2019-07-29 18:03:33,279|TRAJS|80|597
2019-07-29 18:03:35,607|TRAJS|81|557
2019-07-29 18:03:37,968|TRAJS|82|579
2019-07-29 18:03:40,290|TRAJS|83|561
2019-07-29 18:03:42,546|TRAJS|84|604
2019-07-29 18:03:44,879|TRAJS|85|600
2019-07-29 18:03:47,279|TRAJS|86|567
2019-07-29 18:03:49,580|TRAJS|87|586
2019-07-29 18:03:51,909|TRAJS|88|609
2019-07-29 18:03:54,194|TRAJS|89|623
2019-07-29 18:03:56,494|TRAJS|90|573
