1	11800	23071.445	20316.527	1
1	11800	23072.667	20316.412	2
1	11800	23073.821	20316.408	3
1	11800	23074.636000000002	20316.405	4
1	11800	23074.702999999998	20316.405	5
1	16791	23060.265	20303.547	1
1	16791	23061.624	20303.764	2
1	16791	23062.982000000004	20303.871	3
1	16791	23064.203999999998	20303.978	4
1	16791	23065.563	20304.196	5
1	17129	23056.118	20321.477	1
1	17129	23056.525	20321.363999999998	2
1	17129	23056.929	20320.471999999998	3
1	17129	23056.927000000003	20320.027	4
1	17129	23056.859	20320.028000000002	5
