spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B1.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 1 --spatial CUSTOM --customymf 30 --customxmf 30 --customy 30 --customx 30 --fftimestamp 5
2019-05-09 18:51:41,502|FF|app-20190509184931-0108|1|4|  END|131.33|2.Join done                                       |  6.57| 42916|1
2019-05-09 18:51:41,502|FF|app-20190509184931-0108|1|4|START|131.33|3.Flocks to report                                |  0.00|     0|1
2019-05-09 18:51:42,536|FF|app-20190509184931-0108|1|4|  END|132.36|3.Flocks to report                                |  1.03|     0|1
2019-05-09 18:51:42,537|FF|app-20190509184931-0108|1|4|START|132.36|4.Flocks prunned by expansion                     |  0.00|     0|1
2019-05-09 18:51:42,577|FF|app-20190509184931-0108|1|4|  END|132.40|4.Flocks prunned by expansion                     |  0.04|     0|1
2019-05-09 18:51:42,577|FF|app-20190509184931-0108|1|4|START|132.40|5.Flocks reported                                 |  0.00|     0|1
2019-05-09 18:51:42,585|FF|app-20190509184931-0108|1|4|  END|132.41|5.Flocks reported                                 |  0.01|     0|1
2019-05-09 18:51:42,585|FF|app-20190509184931-0108|1|4|START|132.41|6.Candidates indexed                              |  0.00|     0|1
2019-05-09 18:51:53,337|FF|app-20190509184931-0108|1|4|  END|143.16|6.Candidates indexed                              | 10.75| 44120|1
2019-05-09 18:51:53,337|FF|app-20190509184931-0108|1|4|START|143.16|1.Maximal disks found                             |  0.00|     0|2
2019-05-09 18:51:53,337|MF|app-20190509184931-0108|1|4|START|143.16|A.Points indexed                                  |  0.00|     0|2
2019-05-09 18:51:53,467|MF|app-20190509184931-0108|1|4|  END|143.29|A.Points indexed                                  |  0.13| 36800|2
2019-05-09 18:51:53,467|MF|app-20190509184931-0108|1|4|START|143.29|B.Pairs found                                     |  0.00|     0|2
2019-05-09 18:51:54,556|MF|app-20190509184931-0108|1|4|  END|144.38|B.Pairs found                                     |  1.09| 81144|2
2019-05-09 18:51:54,556|MF|app-20190509184931-0108|1|4|START|144.38|C.Centers found                                   |  0.00|     0|2
2019-05-09 18:51:54,754|MF|app-20190509184931-0108|1|4|  END|144.58|C.Centers found                                   |  0.20|162288|2
2019-05-09 18:51:54,755|MF|app-20190509184931-0108|1|4|START|144.58|D.Disks found                                     |  0.00|     0|2
2019-05-09 18:51:59,991|MF|app-20190509184931-0108|1|4|  END|149.81|D.Disks found                                     |  5.24| 72710|2
2019-05-09 18:51:59,991|MF|app-20190509184931-0108|1|4|START|149.81|E.Disks indexed                                   |  0.00|     0|2
2019-05-09 18:52:00,617|MF|app-20190509184931-0108|1|4|  END|150.44|E.Disks indexed                                   |  0.63| 72710|2
2019-05-09 18:52:00,618|MF|app-20190509184931-0108|1|4|START|150.44|F.Expansions gotten                               |  0.00|     0|2
2019-05-09 18:52:07,841|MF|app-20190509184931-0108|1|4|  END|157.66|F.Expansions gotten                               |  7.22|102731|2
2019-05-09 18:52:07,841|MF|app-20190509184931-0108|1|4|START|157.66|G.Maximal disks found                             |  0.00|     0|2
2019-05-09 18:52:31,553|MF|app-20190509184931-0108|1|4|  END|181.38|G.Maximal disks found                             | 23.71| 20250|2
2019-05-09 18:52:31,553|MF|app-20190509184931-0108|1|4|START|181.38|H.Maximal disks prunned                           |  0.00|     0|2
2019-05-09 18:52:39,962|MF|app-20190509184931-0108|1|4|  END|189.79|H.Maximal disks prunned                           |  8.41| 13744|2
2019-05-09 18:52:40,649|FF|app-20190509184931-0108|1|4|  END|190.47|1.Maximal disks found                             | 47.31| 13744|2
