spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B1.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 1 --spatial CUSTOM --customymf 30 --customxmf 30 --customy 30 --customx 30 --fftimestamp 5
2019-05-09 17:01:42,022|FF|app-20190509165931-0102|1|4|  END|131.64|2.Join done                                       |  6.46| 42916|1
2019-05-09 17:01:42,022|FF|app-20190509165931-0102|1|4|START|131.64|3.Flocks to report                                |  0.00|     0|1
2019-05-09 17:01:43,142|FF|app-20190509165931-0102|1|4|  END|132.76|3.Flocks to report                                |  1.12|     0|1
2019-05-09 17:01:43,142|FF|app-20190509165931-0102|1|4|START|132.76|4.Flocks prunned by expansion                     |  0.00|     0|1
2019-05-09 17:01:43,183|FF|app-20190509165931-0102|1|4|  END|132.80|4.Flocks prunned by expansion                     |  0.04|     0|1
2019-05-09 17:01:43,183|FF|app-20190509165931-0102|1|4|START|132.80|5.Flocks reported                                 |  0.00|     0|1
2019-05-09 17:01:43,191|FF|app-20190509165931-0102|1|4|  END|132.81|5.Flocks reported                                 |  0.01|     0|1
2019-05-09 17:01:43,191|FF|app-20190509165931-0102|1|4|START|132.81|6.Candidates indexed                              |  0.00|     0|1
2019-05-09 17:01:54,242|FF|app-20190509165931-0102|1|4|  END|143.86|6.Candidates indexed                              | 11.05| 44120|1
2019-05-09 17:01:54,242|FF|app-20190509165931-0102|1|4|START|143.86|1.Maximal disks found                             |  0.00|     0|2
2019-05-09 17:01:54,242|MF|app-20190509165931-0102|1|4|START|143.86|A.Points indexed                                  |  0.00|     0|2
2019-05-09 17:01:54,368|MF|app-20190509165931-0102|1|4|  END|143.99|A.Points indexed                                  |  0.13| 36800|2
2019-05-09 17:01:54,368|MF|app-20190509165931-0102|1|4|START|143.99|B.Pairs found                                     |  0.00|     0|2
2019-05-09 17:01:55,431|MF|app-20190509165931-0102|1|4|  END|145.05|B.Pairs found                                     |  1.06| 81144|2
