POLYGON ((1964866.0192 562711.912, 1964866.0192 563977.3033, 1965868.1314 563977.3033, 1965868.1314 562711.912, 1964866.0192 562711.912))	33	177	1255
POLYGON ((1963863.907 561446.5208, 1963863.907 562711.912, 1964866.0192 562711.912, 1964866.0192 561446.5208, 1963863.907 561446.5208))	34	221	1255
POLYGON ((1964866.0192 561446.5208, 1964866.0192 562711.912, 1965868.1314 562711.912, 1965868.1314 561446.5208, 1964866.0192 561446.5208))	35	62	1255
POLYGON ((1965868.1314 561446.5208, 1965868.1314 563977.3032, 1967872.3557 563977.3032, 1967872.3557 561446.5208, 1965868.1314 561446.5208))	36	312	1255
POLYGON ((1963863.907 558915.7384, 1963863.907 561446.5208, 1965868.1314 561446.5208, 1965868.1314 558915.7384, 1963863.907 558915.7384))	37	214	1255
POLYGON ((1965868.1314 558915.7384, 1965868.1314 561446.5208, 1967872.3557 561446.5208, 1967872.3557 558915.7384, 1965868.1314 558915.7384))	38	112	1255
POLYGON ((1967872.3557 561446.5208, 1967872.3557 563977.3032, 1969876.5801 563977.3032, 1969876.5801 561446.5208, 1967872.3557 561446.5208))	39	108	1255
POLYGON ((1969876.5801 561446.5208, 1969876.5801 563977.3032, 1971880.8045 563977.3032, 1971880.8045 561446.5208, 1969876.5801 561446.5208))	40	94	1255
POLYGON ((1967872.3557 558915.7384, 1967872.3557 561446.5208, 1969876.5801 561446.5208, 1969876.5801 558915.7384, 1967872.3557 558915.7384))	41	163	1255
POLYGON ((1969876.5801 558915.7384, 1969876.5801 561446.5208, 1971880.8045 561446.5208, 1971880.8045 558915.7384, 1969876.5801 558915.7384))	42	92	1255
POLYGON ((1963863.907 556384.9559, 1963863.907 558915.7384, 1965868.1314 558915.7384, 1965868.1314 556384.9559, 1963863.907 556384.9559))	43	206	1255
POLYGON ((1965868.1314 557650.3472, 1965868.1314 558915.7384, 1966870.2436 558915.7384, 1966870.2436 557650.3472, 1965868.1314 557650.3472))	44	71	1255
POLYGON ((1966870.2436 557650.3472, 1966870.2436 558915.7384, 1967872.3558 558915.7384, 1967872.3558 557650.3472, 1966870.2436 557650.3472))	45	175	1255
POLYGON ((1965868.1314 556384.9559, 1965868.1314 557650.3472, 1966870.2436 557650.3472, 1966870.2436 556384.9559, 1965868.1314 556384.9559))	46	18	1255
POLYGON ((1966870.2436 556384.9559, 1966870.2436 557650.3472, 1967872.3558 557650.3472, 1967872.3558 556384.9559, 1966870.2436 556384.9559))	47	40	1255
POLYGON ((1963863.907 553854.1735, 1963863.907 556384.9559, 1965868.1314 556384.9559, 1965868.1314 553854.1735, 1963863.907 553854.1735))	48	84	1255
POLYGON ((1965868.1314 553854.1735, 1965868.1314 556384.9559, 1967872.3557 556384.9559, 1967872.3557 553854.1735, 1965868.1314 553854.1735))	49	69	1255
POLYGON ((1967872.3557 553854.1735, 1967872.3557 558915.7384, 1971880.8045 558915.7384, 1971880.8045 553854.1735, 1967872.3557 553854.1735))	50	591	1255
POLYGON ((1971880.8045 561446.5208, 1971880.8045 563977.3032, 1973885.0289 563977.3032, 1973885.0289 561446.5208, 1971880.8045 561446.5208))	51	396	1255
POLYGON ((1973885.0289 561446.5208, 1973885.0289 563977.3032, 1975889.2532 563977.3032, 1975889.2532 561446.5208, 1973885.0289 561446.5208))	52	282	1255
POLYGON ((1971880.8045 558915.7384, 1971880.8045 561446.5208, 1973885.0289 561446.5208, 1973885.0289 558915.7384, 1971880.8045 558915.7384))	53	179	1255
