0;bfe;80.0;5;6;162080
1;bfe;90.0;5;6;320030
2;bfe;100.0;5;6;696550
3;bfe;110.0;5;6;1.15391e+06
4;bfe;120.0;5;6;1.55363e+06
5;bfe;100.0;4;6;1.19188e+06
6;bfe;100.0;5;6;699980
7;bfe;100.0;6;6;474060
8;bfe;100.0;7;6;342150
9;bfe;100.0;8;6;270160
10;bfe;100.0;5;3;511290
11;bfe;100.0;5;4;558310
12;bfe;100.0;5;5;630360
13;bfe;100.0;5;6;721660
14;bfe;100.0;5;7;792870
15;bfe;80.0;5;6;161510
16;bfe;90.0;5;6;332700
17;bfe;100.0;5;6;697720
18;bfe;110.0;5;6;1.19017e+06
19;bfe;120.0;5;6;1.55315e+06
20;bfe;100.0;4;6;1.19523e+06
21;bfe;100.0;5;6;720020
22;bfe;100.0;6;6;470540
23;bfe;100.0;7;6;342840
24;bfe;100.0;8;6;262690
25;bfe;100.0;5;3;492580
26;bfe;100.0;5;4;563220
27;bfe;100.0;5;5;627290
28;bfe;100.0;5;6;726470
29;bfe;100.0;5;7;799900
30;bfe;80.0;5;6;157430
31;bfe;90.0;5;6;320010
32;bfe;100.0;5;6;726450
33;bfe;110.0;5;6;1.15864e+06
34;bfe;120.0;5;6;1.57493e+06
35;bfe;100.0;4;6;1.19788e+06
36;bfe;100.0;5;6;707690
37;bfe;100.0;6;6;495100
38;bfe;100.0;7;6;360740
39;bfe;100.0;8;6;273500
40;bfe;100.0;5;3;506520
41;bfe;100.0;5;4;559190
42;bfe;100.0;5;5;655790
43;bfe;100.0;5;6;722690
44;bfe;100.0;5;7;766120
