11;MergeLast;30.0;3;5;689.323
16;MergeLast;30.0;3;5;668.433
20;MergeLast;30.0;3;5;681.964
24;MergeLast;30.0;3;5;689.051
28;MergeLast;30.0;3;5;687.891
0;SpatialJoin;30.0;3;5;780.306
2;SpatialJoin;30.0;4;5;643.645
3;MergeLast;30.0;4;5;537.431
4;SpatialJoin;30.0;5;5;619.606
5;MergeLast;30.0;5;5;508.439
6;SpatialJoin;30.0;6;5;523.506
7;MergeLast;30.0;6;5;497.013
8;SpatialJoin;30.0;3;5;780.273
10;SpatialJoin;30.0;4;5;650.284
11;MergeLast;30.0;4;5;535.774
12;SpatialJoin;30.0;5;5;636.166
13;MergeLast;30.0;5;5;501.677
14;SpatialJoin;30.0;6;5;516.447
15;MergeLast;30.0;6;5;504.756
16;SpatialJoin;30.0;3;5;781.497
18;SpatialJoin;30.0;4;5;649.631
19;MergeLast;30.0;4;5;541.732
20;SpatialJoin;30.0;5;5;636.455
21;MergeLast;30.0;5;5;515.661
22;SpatialJoin;30.0;6;5;529.651
23;MergeLast;30.0;6;5;502.722
24;SpatialJoin;30.0;3;5;777.876
26;SpatialJoin;30.0;4;5;640.751
27;MergeLast;30.0;4;5;539.605
28;SpatialJoin;30.0;5;5;636.967
29;MergeLast;30.0;5;5;512.448
30;SpatialJoin;30.0;6;5;515.302
31;MergeLast;30.0;6;5;511.241
32;SpatialJoin;30.0;3;5;776.567
34;SpatialJoin;30.0;4;5;639.515
35;MergeLast;30.0;4;5;529.907
36;SpatialJoin;30.0;5;5;623.352
37;MergeLast;30.0;5;5;520.325
38;SpatialJoin;30.0;6;5;538.262
39;MergeLast;30.0;6;5;507.862
