partitionId	taskId	grid_id	wkt	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
812	10914	812	POLYGON ((1982403.9259 533601.913, 1982403.9259 533918.3546, 1982654.5478 533918.3546, 1982654.5478 533601.913, 1982403.9259 533601.913))	12		41	10914	1594667755924	1594667756149	225	4	1	mr-07	0	false	0	true	213	52	8	4	0	0	967	0	0	0	0	0	0	0	0	150	13374	146	18	128	0	0	0	0624	Disks phase
551	10653	551	POLYGON ((1966865.3687 540563.6293, 1966865.3687 541196.5126, 1967366.6125 541196.5126, 1967366.6125 540563.6293, 1966865.3687 540563.6293))	12		41	10653	1594667755281	1594667755370	89	5	12	mr-05	0	false	0	true	80	46	4	4	0	0	967	0	0	0	0	0	0	0	0	30	22232	238	18	220	0	0	0	0624	Disks phase
285	10387	285	POLYGON ((1987917.6075 570309.1442, 1987917.6075 570942.0275, 1988418.8513 570942.0275, 1988418.8513 570309.1442, 1987917.6075 570309.1442))	12		41	10387	1594667754486	1594667754703	217	5	2	mr-08	0	false	0	true	202	39	10	4	0	0	967	0	0	0	0	0	0	0	0	146	13860	152	12	140	0	0	0	0624	Disks phase
17	10119	17	POLYGON ((1968870.3438 572840.6774, 1968870.3438 574106.444, 1969872.8314 574106.444, 1969872.8314 572840.6774, 1968870.3438 572840.6774))	12		41	10119	1594667753892	1594667754179	287	17	1	mr-07	0	false	0	true	192	92	78	8	0	0	967	0	0	0	0	0	0	0	0	0	10898	120	10	110	0	0	0	0624	Disks phase
419	10521	419	POLYGON ((1987917.6075 556385.7117, 1987917.6075 557651.4783, 1988920.0951 557651.4783, 1988920.0951 556385.7117, 1987917.6075 556385.7117))	12		41	10521	1594667754710	1594667754758	48	2	10	mr-01	0	false	0	true	34	27	12	4	0	0	967	0	0	0	0	0	0	0	0	0	9828	108	6	102	0	0	0	0624	Disks phase
579	10681	579	POLYGON ((1963857.906 536133.4462, 1963857.906 538664.9794, 1965862.8811 538664.9794, 1965862.8811 536133.4462, 1963857.906 536133.4462))	12		41	10681	1594667755323	1594667755616	293	7	4	mr-02	0	false	0	true	282	56	4	3	0	0	967	0	0	0	0	0	0	0	0	218	28578	308	20	288	0	0	0	0624	Disks phase
47	10149	47	POLYGON ((1967867.8562 565246.0778, 1967867.8562 566511.8444, 1968870.3438 566511.8444, 1968870.3438 565246.0778, 1967867.8562 565246.0778))	12		41	10149	1594667753896	1594667754241	345	17	7	mr-09	0	false	0	true	248	131	80	8	0	10	1010	0	0	0	0	0	0	0	0	1	18884	210	22	188	0	0	0	0624	Disks phase
746	10848	746	POLYGON ((1987917.6075 547208.9039, 1987917.6075 547525.3455, 1988168.2294 547525.3455, 1988168.2294 547208.9039, 1987917.6075 547208.9039))	12		41	10848	1594667755705	1594667755939	234	6	8	mr-03	0	false	0	true	223	33	5	4	0	10	1010	0	0	0	0	0	0	0	0	172	10002	110	18	92	0	0	0	0624	Disks phase
356	10458	356	POLYGON ((1982027.9931 561844.3301, 1982027.9931 561923.4405, 1982090.6485 561923.4405, 1982090.6485 561844.3301, 1982027.9931 561844.3301))	12		41	10458	1594667754640	1594667755455	815	3	3	mr-04	0	false	0	true	807	779	5	4	0	10	1011	0	0	0	0	0	0	0	0	0	41974	446	38	408	0	0	0	0624	Disks phase
598	10700	598	POLYGON ((1967617.2344 536133.4462, 1967617.2344 536449.8878, 1967867.8562 536449.8878, 1967867.8562 536133.4462, 1967617.2344 536133.4462))	12		41	10700	1594667755340	1594667755797	457	4	7	mr-09	0	false	0	true	446	34	7	4	0	173	1010	0	0	0	0	0	0	0	0	205	7716	84	8	76	0	0	0	0624	Disks phase
