EXECUTORS|9|15|4|4299|4338|41.09s|0.87MB|172.31.11.124:45499|app-20190708174636-0140
EXECUTORS|8|15|4|5243|6209|52.13s|51.16MB|172.31.12.55:41237|app-20190708174636-0140
EXECUTORS|7|15|4|4571|4835|44.61s|12.60MB|172.31.13.231:46111|app-20190708174636-0140
EXECUTORS|6|15|4|4384|4449|49.16s|5.66MB|172.31.6.192:40021|app-20190708174636-0140
EXECUTORS|5|15|4|5532|6706|51.71s|57.90MB|172.31.11.83:40621|app-20190708174636-0140
EXECUTORS|4|15|4|5162|6160|82.30s|58.81MB|172.31.5.2:46407|app-20190708174636-0140
EXECUTORS|3|15|4|4293|4330|40.74s|0.81MB|172.31.2.20:41961|app-20190708174636-0140
EXECUTORS|2|15|4|4274|4310|41.07s|0.80MB|172.31.0.141:33029|app-20190708174636-0140
EXECUTORS|14|15|4|4417|4503|41.82s|2.69MB|172.31.8.10:33217|app-20190708174636-0140
EXECUTORS|13|15|4|4346|4407|41.01s|1.57MB|172.31.15.67:33697|app-20190708174636-0140
EXECUTORS|12|15|4|4379|4452|41.35s|2.96MB|172.31.4.16:34043|app-20190708174636-0140
EXECUTORS|11|15|4|4301|4338|40.82s|0.80MB|172.31.0.105:38057|app-20190708174636-0140
EXECUTORS|10|15|4|5430|6475|115.19s|65.59MB|172.31.11.178:35139|app-20190708174636-0140
EXECUTORS|1|15|4|4390|4480|42.16s|2.72MB|172.31.4.160:45533|app-20190708174636-0140
EXECUTORS|0|15|4|4393|4430|41.12s|0.79MB|172.31.5.79:45555|app-20190708174636-0140
STAGES|  39|count at MF.scala:177                |15|4|2019-07-08T17:47:25.939GMT|2019-07-08T17:51:31.529GMT|32683|548192|418435684373|30330344|46883|0|0|app-20190708174636-0140
STAGES|  32|count at MF.scala:135                |15|4|2019-07-08T17:47:05.776GMT|2019-07-08T17:47:25.742GMT|32683|211380|48670288065|0|0|2584060|46883|app-20190708174636-0140
STAGES|  31|flatMapToPair at SpatialRDD.java:347 |15|4|2019-07-08T17:46:59.578GMT|2019-07-08T17:47:00.173GMT| 180|3418|2104306189|11392216|29069|0|0|app-20190708174636-0140
STAGES|  25|aggregate at SpatialRDD.java:515     |15|4|2019-07-08T17:46:58.421GMT|2019-07-08T17:46:59.452GMT| 180|4574|2775131058|0|0|5550110|41818|app-20190708174636-0140
STAGES|  19|count at MF.scala:124                |15|4|2019-07-08T17:46:57.870GMT|2019-07-08T17:46:58.397GMT| 180|2258|1572754334|0|0|5550110|41818|app-20190708174636-0140
STAGES|  18|distinct at MF.scala:123             |15|4|2019-07-08T17:46:54.588GMT|2019-07-08T17:46:57.865GMT| 180|16246|10748263251|0|0|9147243|113614|app-20190708174636-0140
STAGES|  17|map at MF.scala:110                  |15|4|2019-07-08T17:46:52.988GMT|2019-07-08T17:46:54.566GMT| 937|12387|7210095713|39159520|872|2601588|148959|app-20190708174636-0140
STAGES|  16|flatMapToPair at SpatialRDD.java:347 |15|4|2019-07-08T17:46:51.564GMT|2019-07-08T17:46:52.968GMT|1874|4236|3585899521|8789504|70218|0|0|app-20190708174636-0140
STAGES|  13|aggregate at SpatialRDD.java:515     |15|4|2019-07-08T17:46:49.123GMT|2019-07-08T17:46:51.473GMT|1874|22145|6484555169|60664734|1874|3346358|84232|app-20190708174636-0140
STAGES|  10|count at MF.scala:98                 |15|4|2019-07-08T17:46:46.549GMT|2019-07-08T17:46:48.967GMT|1874|16490|5393613813|62028236|1874|3346358|84232|app-20190708174636-0140
STAGES|   7|count at MF.scala:84                 |15|4|2019-07-08T17:46:43.669GMT|2019-07-08T17:46:46.372GMT| 937|32016|8374675698|0|0|2877224|72945|app-20190708174636-0140
STAGES|   6|flatMapToPair at SpatialRDD.java:347 |15|4|2019-07-08T17:46:42.768GMT|2019-07-08T17:46:43.570GMT| 120|2566|928819126|7142696|30829|0|0|app-20190708174636-0140
STAGES|   5|flatMapToPair at SpatialRDD.java:347 |15|4|2019-07-08T17:46:42.746GMT|2019-07-08T17:46:43.399GMT| 120|7711|2325204505|7142696|30829|0|0|app-20190708174636-0140
STAGES|   4|count at MF.scala:68                 |15|4|2019-07-08T17:46:42.444GMT|2019-07-08T17:46:42.664GMT| 120|147|80774386|7142696|30829|0|0|app-20190708174636-0140
STAGES|   3|aggregate at SpatialRDD.java:515     |15|4|2019-07-08T17:46:42.140GMT|2019-07-08T17:46:42.418GMT| 120|226|127309352|7142696|30829|0|0|app-20190708174636-0140
STAGES|   2|collect at SpatialRDD.java:248       |15|4|2019-07-08T17:46:41.678GMT|2019-07-08T17:46:41.942GMT| 120|686|219293371|7142696|30829|0|0|app-20190708174636-0140
STAGES|   1|count at MF.scala:399                |15|4|2019-07-08T17:46:41.125GMT|2019-07-08T17:46:41.633GMT| 120|660|261004573|7142696|30829|0|0|app-20190708174636-0140
