dataset	method	epsilon	capacity	time
25	BFE	1	100	0.026531006445312498
25	BFE	1	200	0.03239200787760416
25	BFE	1	300	0.06421818095588236
25	BFE	2	100	0.0436803323828125
25	BFE	2	200	0.04719137893229167
25	BFE	2	300	0.08651913296568628
25	BFE	3	100	0.06672876342447917
25	BFE	3	200	0.061226680182291666
25	BFE	3	300	0.12104566215686274
25	BFE	4	100	0.098365433359375
25	BFE	4	200	0.11037541252604166
25	BFE	4	300	0.22854127578431374
25	BFE	5	100	0.22421432671875002
25	BFE	5	200	0.19618218584635416
25	BFE	5	300	0.4324181007598039
25	PSI	1	100	0.03797982115885417
25	PSI	1	200	0.02316111436197917
25	PSI	1	300	0.11202306328431373
25	PSI	2	100	0.0297776319921875
25	PSI	2	200	0.0373433994921875
25	PSI	2	300	0.10697052666666666
25	PSI	3	100	0.029326459296875
25	PSI	3	200	0.062378478541666664
25	PSI	3	300	0.12438416193627452
25	PSI	4	100	0.03159778354166667
25	PSI	4	200	0.046101645703125
25	PSI	4	300	0.13943476340686273
25	PSI	5	100	0.046211683619791666
25	PSI	5	200	0.03917631240885417
25	PSI	5	300	0.11774149039215685
50	BFE	1	100	0.011249702666015625
50	BFE	1	200	0.06465563063802084
50	BFE	1	300	0.0791109478515625
50	BFE	2	100	0.019404755563151042
50	BFE	2	200	0.10908714092447917
50	BFE	2	300	0.1073039824609375
50	BFE	3	100	0.03301537534830729
50	BFE	3	200	0.23138967626302082
50	BFE	3	300	0.258898303515625
50	BFE	4	100	0.04458842260091146
50	BFE	4	200	0.4561958812369792
50	BFE	4	300	0.4695611173046875
50	BFE	5	100	0.08367085742513021
50	BFE	5	200	0.7337065236458333
50	BFE	5	300	0.7008309865755208
50	PSI	1	100	0.00517704265625
50	PSI	1	200	0.07720923770833334
50	PSI	1	300	0.0812259941796875
50	PSI	2	100	0.005494061904296875
50	PSI	2	200	0.06821912209635417
50	PSI	2	300	0.05502535442708334
50	PSI	3	100	0.007145617239583333
50	PSI	3	200	0.0876937783203125
50	PSI	3	300	0.1094414723828125
50	PSI	4	100	0.011488104921875
50	PSI	4	200	0.0922667329296875
50	PSI	4	300	0.09479707498697917
50	PSI	5	100	0.018555488528645834
50	PSI	5	200	0.13052784899739583
50	PSI	5	300	0.12908874598958334
75	BFE	1	100	0.014357364534505208
75	BFE	1	200	0.016576423682572616
75	BFE	1	300	0.06883900372395833
75	BFE	2	100	0.030940255445963544
75	BFE	2	200	0.031075196065006916
75	BFE	2	300	0.22211775446614584
75	BFE	3	100	0.05048579722005209
75	BFE	3	200	0.07737382211964039
75	BFE	3	300	0.58448906609375
75	BFE	4	100	0.08447742992838542
75	BFE	4	200	0.12662790697095436
75	BFE	4	300	0.9405596935416667
75	BFE	5	100	0.2033125153125
75	BFE	5	200	0.1702168133298755
75	BFE	5	300	0.9540496622005208
75	PSI	1	100	0.008171207822265625
75	PSI	1	200	0.01008653903526971
75	PSI	1	300	0.11428157687500001
75	PSI	2	100	0.011113231722005207
75	PSI	2	200	0.012849490501383126
75	PSI	2	300	0.13514579889322917
75	PSI	3	100	0.014081342242838541
75	PSI	3	200	0.017214284512448132
75	PSI	3	300	0.1772013821875
75	PSI	4	100	0.023665000442708334
75	PSI	4	200	0.02544183659405256
75	PSI	4	300	0.1944134216796875
75	PSI	5	100	0.04939835295572917
75	PSI	5	200	0.05581864236514523
75	PSI	5	300	0.6692906922526042
100	BFE	1	100	0.020324546271844664
100	BFE	1	200	0.02023070990559896
100	BFE	1	300	0.04371979092936803
100	BFE	2	100	0.04728136803883495
100	BFE	2	200	0.05575565055989583
100	BFE	2	300	0.10743907966542751
100	BFE	3	100	0.09642231682200647
100	BFE	3	200	0.09186745371419272
100	BFE	3	300	0.25599625963444855
100	BFE	4	100	0.1483651336634304
100	BFE	4	200	0.13982360102213542
100	BFE	4	300	0.3151069562949194
100	BFE	5	100	0.30309977081553396
100	BFE	5	200	0.2283246316015625
100	BFE	5	300	0.6949824884634449
100	PSI	1	100	0.01057967555987055
100	PSI	1	200	0.009880195491536459
100	PSI	1	300	0.04967033279429988
100	PSI	2	100	0.01587886190291262
100	PSI	2	200	0.01675887331705729
100	PSI	2	300	0.06166276365551425
100	PSI	3	100	0.027105892941747572
100	PSI	3	200	0.026514417428385416
100	PSI	3	300	0.09354424205700124
100	PSI	4	100	0.05385331362135922
100	PSI	4	200	0.05027171490885417
100	PSI	4	300	0.15661210214374224
100	PSI	5	100	0.1460439222265372
100	PSI	5	200	0.13445581713541666
100	PSI	5	300	0.46751766517348203
