2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
0, 4, 3223 4684 6525 12512 12835 14044
0, 4, 6525 9044 12512 12835 17973
0, 4, 6525 12512 12835 14044 17973
0, 4, 1646 6364 7062 12245 13269 13504
0, 4, 3067 3223 4684 12835 14044
0, 4, 3223 6525 12512 12835 14044 17979
0, 4, 3223 4684 6525 12512 14044 17979
0, 4, 167 881 3462 4608 9173
0, 4, 1646 5936 6364 7062 11050
0, 4, 1646 6364 7062 11050 12245 13504
0, 4, 2898 7897 14316 18660 19090
0, 4, 7897 10424 13525 14316 18660
0, 4, 974 4115 5652 17834 17916
0, 4, 974 4115 4335 5652 7038 12287 18637
0, 4, 974 4115 4335 5652 17834 18637
0, 4, 974 4335 7038 8514 17834 18637
0, 4, 974 4335 5652 8514 17834 18637
0, 4, 974 4115 4335 5652 17916 18637
0, 4, 974 4335 7038 8514 12287 18637
0, 4, 979 4335 7038 12287 18637
0, 4, 632 4737 9472 16672 17168
0, 4, 1691 2862 5801 9891 18817
0, 4, 1691 2862 5801 6031 14491 18817
0, 4, 2862 5801 9891 15917 18817
0, 4, 2307 4172 4313 6874 10409
0, 4, 2196 2307 4172 4313 10409
0, 4, 7901 9829 10319 10822 12211 14529
0, 4, 7901 10319 10822 12211 14529 16605
0, 4, 2360 7901 9829 10822 17039
0, 4, 1890 4315 6414 12845 13016
0, 4, 1890 6414 7489 12845 13016
0, 4, 2948 5240 6554 15769 17094
0, 4, 1059 3272 14434 15363 17046
0, 4, 2843 4977 5709 15702 15974
0, 4, 6152 9113 9274 17783 18836
0, 4, 6280 8484 14952 16703 17961
0, 4, 8484 14952 16703 17024 17961
0, 4, 2431 7051 8468 14248 15725
0, 4, 8484 8538 14952 17024 17961
0, 4, 2783 7783 8741 9081 9805 14650 15033 16240 16641 16714 16849 19387
0, 4, 2783 7783 8741 9081 9805 13759 14650 15033 16240 16641 16714 19387
0, 4, 387 2783 7415 14650 15033 16849 19387
0, 4, 2783 9081 13759 14650 15033 19360 19387
0, 4, 2783 4159 9081 11730 13759 14650 15033 19387
0, 4, 4159 9081 11730 13759 14650 19360
